title,genre,keywords,features
Avengers,action superhero,heroes marvel battle,action superhero heroes marvel battle
Iron Man,action superhero science fiction,technology robot marvel,action superhero science fiction technology robot marvel
Spider-Man,action superhero,spider hero city,action superhero spider hero city
Batman,action superhero crime,hero crime city,action superhero crime hero crime city
Superman,action superhero,hero superpowers,action superhero hero superpowers
Inception,science fiction thriller,dream mind time,science fiction thriller dream mind time
Interstellar,science fiction adventure,space time science,science fiction adventure space time science
The Matrix,science fiction action,computer technology future,science fiction action computer technology future
Titanic,romance drama,love ship tragedy,romance drama love ship tragedy
The Notebook,romance drama,love relationship,romance drama love relationship
Jurassic Park,science fiction adventure,dinosaurs park science,science fiction adventure dinosaurs park science
Harry Potter,fantasy adventure,magic wizard school,fantasy adventure magic wizard school
Lord of the Rings,fantasy adventure action,magic adventure ring,fantasy adventure action magic adventure ring
Fast and Furious,action racing,cars racing action,action racing cars racing action
Mission Impossible,action thriller,spy mission action,action thriller spy mission action
