student_id,study_hours,attendance,assignments,result
1,6.8,51,4,0
2,3.2,58,1,0
3,7.1,84,1,1
4,6.3,52,0,0
5,1.8,64,8,0
6,6.4,85,3,1
7,7.4,94,8,1
8,4.8,78,9,1
9,3.5,50,2,0
10,7.3,71,4,1
11,2.4,98,5,0
12,1.9,74,1,0
13,4.2,72,9,0
14,3.4,52,7,0
15,5.8,74,1,0
16,6,90,9,1
17,9,73,9,1
18,2.7,54,0,0
19,7,99,4,1
20,9.9,64,1,1
21,4.4,79,10,1
22,8.5,60,5,1
23,4.2,92,4,0
24,7.3,93,10,1
25,1.6,90,2,0
26,5.8,65,2,0
27,5.2,67,10,1
28,7.2,64,10,1
29,3.9,99,0,0
30,3.1,52,5,0
31,4.6,54,3,0
32,9.2,86,5,1
33,2.9,81,6,0
34,9,91,7,1
35,2.3,58,3,0
36,7.7,84,4,1
37,7.7,77,9,1
38,4.6,64,2,0
39,5.6,55,0,0
40,8.7,59,10,1
41,2.4,93,6,0
42,6.4,74,6,1
43,6.4,79,8,1
44,3.3,85,0,0
45,7.1,57,10,1
46,9,98,4,1
47,7.9,71,1,1
48,3.6,60,7,0
49,1,96,4,0
50,9.7,98,2,1
51,5.6,56,10,1
52,3.7,90,8,1
53,6.5,59,5,0
54,7.9,84,8,1
55,9.3,88,5,1
56,5.4,57,5,0
57,8.9,69,3,1
58,1.5,86,1,0
59,1.8,81,1,0
60,9.8,84,2,1
61,2.2,80,8,0
62,2.5,83,9,0
63,4.8,63,8,0
64,7.8,94,3,1
65,7.4,75,10,1
66,6.8,78,8,1
67,5.1,65,3,0
68,1.6,51,9,0
69,6,87,3,1
70,1.1,95,10,0
71,1.5,54,0,0
72,8.7,54,8,1
73,3.1,92,7,0
74,2.9,58,9,0
75,6.2,65,7,1
76,8.3,62,1,1
77,1.9,77,5,0
78,4.8,79,0,0
79,7.1,91,1,1
80,1.5,96,5,0
81,8.2,56,3,1
82,2.7,84,7,0
83,2.3,61,4,0
84,5.2,54,7,0
85,8.3,85,1,1
86,1.5,84,0,0
87,9.7,98,3,1
88,2.5,81,7,0
89,2.9,75,0,0
90,2.5,50,6,0
91,3.4,100,7,1
92,3.6,94,8,1
93,7,81,2,1
94,2.7,63,0,0
95,6.2,84,0,0
96,7.7,53,0,0
97,6.3,82,8,1
98,2.4,82,1,0
99,8.7,54,9,1
100,1.6,65,6,0
101,2.1,86,3,0
102,6.2,52,9,1
103,1.7,92,9,0
104,6.1,70,4,0
105,2.8,95,5,0
106,3.1,75,2,0
107,7,69,7,1
108,3.8,98,1,0
109,1.1,89,9,0
110,10,54,8,1
111,2.9,66,2,0
112,9.4,54,3,1
113,4.3,60,7,0
114,8.5,95,4,1
115,6.5,91,8,1
116,1.1,85,4,0
117,9.4,56,2,1
118,3.4,56,8,0
119,2.4,68,9,0
120,2.9,71,3,0
121,7.2,66,8,1
122,5.4,53,1,0
123,6.7,67,0,0
124,1,99,2,0
125,6.7,66,2,0
126,7.7,85,6,1
127,6,57,1,0
128,9.5,94,2,1
129,5.9,73,9,1
130,6,77,2,0
131,1.4,73,0,0
132,9.1,63,10,1
133,3.2,56,5,0
134,8,76,9,1
135,7.7,65,2,1
136,9.8,61,6,1
137,1.2,97,5,0
138,8,76,10,1
139,8.8,65,4,1
140,2.4,94,1,0
141,4.4,52,7,0
142,3,79,5,0
143,3.7,100,3,0
144,3,92,3,0
145,4.6,67,1,0
146,9.7,67,5,1
147,6.8,75,10,1
148,9.8,84,5,1
149,9.5,57,4,1
150,2.6,66,0,0
151,2,77,5,0
152,7.6,70,6,1
153,6.5,82,1,0
154,4.5,86,3,0
155,3.3,95,6,0
156,1,84,10,0
157,7.5,97,10,1
158,2.8,77,1,0
159,9.5,71,9,1
160,3.8,57,4,0
161,5.6,92,6,1
162,3.9,94,4,0
163,6,62,6,0
164,7,74,10,1
165,7.7,61,9,1
166,6.1,75,8,1
167,8.5,69,4,1
168,2.9,100,9,1
169,6.5,70,7,1
170,5,93,3,0
171,5.6,100,2,1
172,6.9,68,8,1
173,7,89,5,1
174,1.8,98,3,0
175,7.1,64,3,0
176,2.3,52,3,0
177,9.9,89,1,1
178,5.1,90,9,1
179,2.7,94,6,0
180,5.4,65,2,0
181,6.9,50,1,0
182,8,64,2,1
183,8.2,94,8,1
184,5.2,85,3,0
185,9.3,57,7,1
186,2.2,79,10,0
187,5.8,85,9,1
188,3.9,98,7,1
189,6.5,96,8,1
190,4.8,85,7,1
191,9.1,97,7,1
192,5.1,98,3,1
193,8.6,67,8,1
194,5.4,65,4,0
195,5,95,4,1
196,3.1,71,5,0
197,9,55,2,1
198,2.4,74,2,0
199,7.4,54,6,1
200,4.7,84,7,1
